mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.9503989696502686,0.015201711654663086,0.5373626373626373,0.5431318681318682,relu,10.0,"(31,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (31,)}",186,0.5,0.49175824175824173,0.489010989010989,0.5178571428571429,0.554945054945055,0.5418956043956044,0.49175824175824173,0.5013736263736264,0.6510989010989011,0.6627747252747253,0.1768262458404017,0.0029920769890742402,0.06173927204653952,0.06218963513731413
0.9933993339538574,0.01460108757019043,0.5747252747252747,0.5858516483516484,relu,10.0,"(15,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,)}",129,0.5604395604395604,0.584478021978022,0.5384615384615384,0.5199175824175825,0.6016483516483516,0.6023351648351648,0.5576923076923077,0.5693681318681318,0.6153846153846154,0.6531593406593407,0.07030354190858422,0.0028706145859535882,0.028938888092887242,0.043411809395886215
1.772800874710083,0.018999338150024414,0.593956043956044,0.6380494505494505,relu,10.0,"(62,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (62,)}",101,0.6428571428571429,0.679945054945055,0.5906593406593407,0.6126373626373627,0.5961538461538461,0.6607142857142857,0.5439560439560439,0.6112637362637363,0.5961538461538461,0.6256868131868132,0.6430605530499748,0.004049445043936834,0.031342770762531155,0.027513705403415994
0.9301992893218994,0.015802001953125,0.6032967032967033,0.6160714285714286,relu,10.0,"(31, 31)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (31, 31)}",64,0.6236263736263736,0.6160714285714286,0.6016483516483516,0.6407967032967034,0.6346153846153846,0.603021978021978,0.5659340659340659,0.6188186813186813,0.5906593406593407,0.6016483516483516,0.07595240030074431,0.0027117031681071382,0.024300378447797772,0.014122322156565831
0.9544007301330566,0.015998697280883788,0.5472527472527473,0.5652472527472527,relu,10.0,"(15, 15)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15, 15)}",169,0.5467032967032966,0.5673076923076923,0.6153846153846154,0.6016483516483516,0.5302197802197802,0.5226648351648352,0.5741758241758241,0.6483516483516484,0.4697802197802198,0.48626373626373626,0.11974420810302161,0.005175584686684406,0.048289170423560075,0.05707413449966106
2.244598722457886,0.02660050392150879,0.6401098901098901,0.665521978021978,relu,10.0,"(62, 62)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (62, 62)}",26,0.6346153846153846,0.6559065934065934,0.6346153846153846,0.6641483516483516,0.6538461538461539,0.6572802197802198,0.6126373626373627,0.6826923076923077,0.6648351648351648,0.6675824175824175,0.37782883885888546,0.025712006846916994,0.017972996960215506,0.009605567987388515
1.0411999702453614,0.015603590011596679,0.5813186813186814,0.5940934065934066,relu,10.0,"(31, 31, 31)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (31, 31, 31)}",113,0.5357142857142857,0.5604395604395604,0.6126373626373627,0.6146978021978022,0.5796703296703297,0.584478021978022,0.5439560439560439,0.6050824175824175,0.6346153846153846,0.6057692307692307,0.06271101726772302,0.0024207156633321205,0.038209535496074094,0.019527730708775767
1.0105986595153809,0.017800664901733397,0.5467032967032966,0.5623626373626374,relu,10.0,"(15, 15, 15)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15, 15, 15)}",171,0.5082417582417582,0.5240384615384616,0.5,0.5,0.6346153846153846,0.6263736263736264,0.5741758241758241,0.6243131868131868,0.5164835164835165,0.5370879120879121,0.07993583748993545,0.006046373265646495,0.0511018550487315,0.0527862293037283
2.7810019969940187,0.016601037979125977,0.5901098901098901,0.6232142857142857,relu,10.0,"(62, 62, 62)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (62, 62, 62)}",102,0.6181318681318682,0.6737637362637363,0.6538461538461539,0.657967032967033,0.6153846153846154,0.6346153846153846,0.49175824175824173,0.570054945054945,0.5714285714285714,0.5796703296703297,1.7386917920086327,0.0017415145265640647,0.05569271533368599,0.04150897988607073
0.9251996517181397,0.015200424194335937,0.5774725274725274,0.5842032967032967,relu,3.1622776601683795,"(31,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (31,)}",124,0.5,0.4945054945054945,0.5604395604395604,0.6201923076923077,0.6868131868131868,0.6758241758241759,0.5412087912087912,0.5467032967032966,0.5989010989010989,0.5837912087912088,0.10944056132387676,0.0024831306500553547,0.06327991230280426,0.06187359685425318
