mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
116.29000058174134,0.05000195503234863,0.7288773086379908,0.732958528142381,relu,10.0,"(56,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (56,)}",210,0.7316115192498878,0.7354951994087814,0.7352358231640728,0.7339371514635139,0.7303019753285241,0.736483900963705,0.7245177779883551,0.7330736480957771,0.7227157881979757,0.7258027407801277,28.980493737978417,0.008050493455293815,0.004623837730144714,0.0037693289489040263
2.2420022010803224,0.027798271179199217,0.736955180280291,0.7403923826780345,relu,10.0,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28,)}",202,0.7330781610756127,0.735554034337025,0.7387310541769359,0.7401665462821114,0.7313538997383806,0.745773658082394,0.7353106541583753,0.7388773372629682,0.7463058736122162,0.741590337425674,0.6128600498320029,0.02147823998569386,0.00528542739931767,0.0033510953406712526
84.14439840316773,0.055800676345825195,0.7331470007861134,0.7370811018751267,relu,10.0,"(112,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (112,)}",205,0.7317340135119985,0.7378833529104255,0.7310149682462243,0.733831886958228,0.7309018156517931,0.7360150148842827,0.7338739905450794,0.7458246382188861,0.7382125976783768,0.7318506164038113,16.73237526404125,0.01165144752113907,0.0027482843874472233,0.004819646290593636
241.0058018684387,0.12359952926635742,0.7313598502924638,0.7320609400536386,relu,10.0,"(56, 56)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (56, 56)}",207,0.7267814823410903,0.732743424333001,0.7352358231640728,0.7324599521864202,0.7301575084114481,0.7336929026024289,0.7306039883340177,0.7321816871648094,0.7340214510409367,0.7292267339815339,50.48577073804065,0.04262660932412491,0.003002944939813204,0.001505695929352872
1.8143986701965331,0.01979994773864746,0.7304337656619124,0.7329341418588334,relu,10.0,"(28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28)}",208,0.7318125624641791,0.7317327090381474,0.7228528505769992,0.7269037697822164,0.730879842996828,0.7373116044228993,0.7296142750350085,0.7363617828742285,0.7370120033090773,0.7323608431766754,0.12391091087922683,0.01112498162792763,0.004549936401561361,0.003716137807300623
187.9238042831421,0.1101963996887207,0.7360527666037484,0.7385919176302684,relu,10.0,"(112, 112)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (112, 112)}",203,0.7193197266022802,0.720085721305855,0.7438846285621358,0.7431443570574653,0.7495342323438533,0.7550600094879549,0.7287119513145289,0.740282347442107,0.7388128948630264,0.7343871528579605,21.73581073833644,0.013759002788513632,0.01081342006442653,0.011444995904834769
352.67860116958616,0.18159847259521483,0.7359991886655177,0.7379486224426282,relu,10.0,"(56, 56, 56)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (56, 56, 56)}",204,0.7354994950236541,0.735956179956039,0.7408760852781106,0.7389074771724264,0.7375972914952931,0.7450313031104099,0.733489160533603,0.7397019785253877,0.7325318393305968,0.7301461734488783,51.87067709092251,0.059560498811027415,0.002996990288439972,0.004878648639736386
2.7176000595092775,0.025797367095947266,0.723744452725292,0.7281915509516682,relu,10.0,"(28, 28, 28)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (28, 28, 28)}",211,0.7329336941585368,0.7358478141129527,0.7240745038785026,0.7264004646116627,0.7269259492581663,0.7342818606355206,0.7245177779883551,0.7333179204414776,0.7102645944536072,0.7111096949567272,0.24694665847871425,0.014173034292023712,0.007442233874845893,0.009132225318019426
307.55420274734496,0.17659907341003417,0.7326191707788763,0.7348960742096915,relu,10.0,"(112, 112, 112)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (112, 112, 112)}",206,0.7364761598009357,0.7409853405931951,0.7284837710233573,0.725811506578571,0.7372424396962458,0.744134457093625,0.7262821525211367,0.7342007260949411,0.7346108145704786,0.7293483406881253,65.9772309209631,0.021447822782134866,0.004415410213146814,0.006873385027347478
122.77159962654113,0.06300430297851563,0.7559349883024444,0.7579542565162823,relu,3.1622776601683795,"(56,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (56,)}",193,0.7595211329574563,0.7594896000873445,0.7537144312713773,0.7554625499722593,0.7556897334809054,0.7619334871794315,0.7455691904355791,0.7511985393408691,0.7651822363671812,0.7616871060015076,24.434451137983462,0.018539810268965423,0.006492757154375508,0.004098146846729524
2.6443999767303468,0.023600053787231446,0.7583774013166473,0.7590400688772352,relu,3.1622776601683795,"(28,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (28,)}",186,0.7645961583904753,0.7601532041130091,0.7560259019445932,0.7529164997126861,0.7589998415863678,0.7624274883365842,0.7569753729850386,0.7648799787538336,0.7552880688793926,0.754823173470063,0.4472833623922976,0.012563620855043185,0.00334969683849152,0.004518816973534906
102.47360062599182,0.05039877891540527,0.7589676733573345,0.7615134547313943,relu,3.1622776601683795,"(112,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (112,)}",182,0.7662292397882415,0.7611443077651149,0.7545592601188681,0.756570624240234,0.7545120254893324,0.7598580258558452,0.7504337892331828,0.7635331329657393,0.7691066281661495,0.7664611828300376,16.0265830434721,0.009499179958354238,0.007315968620694059,0.0033426756054828447
280.2086015224457,0.12339730262756347,0.7594216402374636,0.7650496067725971,relu,3.1622776601683795,"(56, 56)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (56, 56)}",181,0.754332954930006,0.7561254547573059,0.7729593192739919,0.7727929983539711,0.761308022939978,0.7717217452743098,0.7469924297461491,0.7631223382141136,0.7615136657515769,0.7614854972632857,86.21207217435025,0.014741724296966144,0.008620868344215823,0.006333013109909693
